                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.89083,                 2.0842,                 1.0873,                0.67988,                0.38247,                0.33704,                0.29574,                0.49454,                 1.4498,                0.87408,              0.0099673,              0.0099673,              0.0099673
                     36,                0.77962,                 2.0111,                 1.0428,                0.72236,                0.37436,                 0.4066,                0.35252,                0.52844,                 1.4014,                0.88312,              0.0099663,              0.0099663,              0.0099663
                     37,                0.83705,                 2.0868,                 1.0919,                0.54306,                0.39572,                0.39476,                0.33806,                0.52404,                 1.3237,                0.88414,              0.0099654,              0.0099654,              0.0099654
                     38,                0.81188,                 1.9262,                 1.0606,                0.50785,                0.50147,                0.41699,                0.36349,                0.49661,                 1.6013,                0.86985,              0.0099644,              0.0099644,              0.0099644
                     39,                0.82539,                 2.0146,                 1.0889,                0.62825,                0.35945,                0.43849,                0.39467,                0.48156,                 1.3621,                0.86637,              0.0099634,              0.0099634,              0.0099634
                     40,                0.80411,                 1.8529,                 1.0616,                0.54146,                 0.5768,                0.42451,                0.37558,                0.49045,                 1.3355,                0.86745,              0.0099624,              0.0099624,              0.0099624
                     41,                 0.7752,                  1.933,                 1.0524,                0.40377,                0.52874,                0.49655,                0.43872,                0.50072,                 1.2694,                0.87289,              0.0099614,              0.0099614,              0.0099614
                     42,                0.80789,                 1.9107,                 1.0759,                0.37608,                0.55925,                0.47106,                0.41489,                0.49116,                 1.2565,                0.86316,              0.0099604,              0.0099604,              0.0099604
                     43,                0.83148,                 1.9428,                 1.0734,                0.49355,                0.53737,                0.51108,                0.42596,                0.49705,                 1.5922,                 0.8678,              0.0099594,              0.0099594,              0.0099594
                     44,                0.80793,                 1.8788,                 1.0472,                0.38701,                 0.5898,                0.49051,                0.42476,                0.50833,                 1.3171,                0.87065,              0.0099584,              0.0099584,              0.0099584
                     45,                0.85847,                  1.955,                 1.0974,                0.54439,                0.52703,                0.44919,                0.38821,                0.47431,                 1.3069,                0.86273,              0.0099574,              0.0099574,              0.0099574
                     46,                0.79609,                 1.7462,                 1.0245,                0.45169,                0.42955,                0.47471,                0.40645,                0.50171,                 1.5662,                0.86596,              0.0099564,              0.0099564,              0.0099564
                     47,                0.78705,                 1.8189,                 1.0478,                0.40569,                0.62592,                0.45564,                0.38929,                0.52732,                 1.4471,                0.87113,              0.0099555,              0.0099555,              0.0099555
